21:04:17  > Machine.powerOn()                   | First boot of engima machine
21:04:17  > Machine.InitialseCogs()             | Got cog settings from user
21:04:17  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
21:04:17  > Machine.InitialseUKW()              | Got reverser settings from user
21:04:17  > ------------------                  | 
21:04:17  > FullPassThrough()                   |  - 17(R) > [Switchboard-F] > 17(R)
21:04:17  > FullPassThrough()                   |  - 17(R) > [COG 0 -F] > 4(E)
21:04:17  > FullPassThrough()                   |  - 4(E) > [COG 1 -F] > 5(F)
21:04:17  > FullPassThrough()                   |  - 5(F) > [COG 2 -F] > 6(G)
21:04:17  > FullPassThrough()                   |  - 6(G) > [UKW] > 11(L)
21:04:17  > FullPassThrough()                   |  - 11(L) > [COG 2 -R] > 4(E)
21:04:17  > FullPassThrough()                   |  - 4(E) > [COG 1 -R] > 17(R)
21:04:17  > FullPassThrough()                   |  - 17(R) > [COG 0 -R] > 0(A)
21:04:17  > FullPassThrough()                   |  - 0(A) > [Switchboard-R] > 0(A)
21:04:17  > ------------------                  | 
21:04:17  > FullPassThrough()                   |  - 13(N) > [Switchboard-F] > 13(N)
21:04:17  > FullPassThrough()                   |  - 13(N) > [COG 0 -F] > 23(X)
21:04:17  > FullPassThrough()                   |  - 23(X) > [COG 1 -F] > 0(A)
21:04:17  > FullPassThrough()                   |  - 0(A) > [COG 2 -F] > 4(E)
21:04:17  > FullPassThrough()                   |  - 4(E) > [UKW] > 16(Q)
21:04:17  > FullPassThrough()                   |  - 16(Q) > [COG 2 -R] > 7(H)
21:04:17  > FullPassThrough()                   |  - 7(H) > [COG 1 -R] > 24(Y)
21:04:17  > FullPassThrough()                   |  - 24(Y) > [COG 0 -R] > 0(A)
21:04:17  > FullPassThrough()                   |  - 0(A) > [Switchboard-R] > 0(A)
21:04:17  > ------------------                  | 
21:04:17  > FullPassThrough()                   |  - 17(R) > [Switchboard-F] > 17(R)
21:04:17  > FullPassThrough()                   |  - 17(R) > [COG 0 -F] > 1(B)
21:04:17  > FullPassThrough()                   |  - 1(B) > [COG 1 -F] > 6(G)
21:04:17  > FullPassThrough()                   |  - 6(G) > [COG 2 -F] > 3(D)
21:04:17  > FullPassThrough()                   |  - 3(D) > [UKW] > 7(H)
21:04:17  > FullPassThrough()                   |  - 7(H) > [COG 2 -R] > 15(P)
21:04:17  > FullPassThrough()                   |  - 15(P) > [COG 1 -R] > 21(V)
21:04:17  > FullPassThrough()                   |  - 21(V) > [COG 0 -R] > 0(A)
21:04:17  > FullPassThrough()                   |  - 0(A) > [Switchboard-R] > 0(A)
21:04:17  > ------------------                  | 
