20:36:29  > Machine.powerOn()                   | First boot of engima machine
20:36:29  > FullPassThrough()                   |  - 21(V) > [COG 1 -R] > 12(M)
20:36:29  > FullPassThrough()                   |  - 12(M) > [COG 0 -R] > 9(J)
20:36:29  > FullPassThrough()                   |  - 9(J) > [Switchboard-R] > 4(E)
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - 22(W) > [Switchboard-F] > 10(K)
20:36:29  > FullPassThrough()                   |  - 10(K) > [COG 0 -F] > 15(P)
20:36:29  > FullPassThrough()                   |  - 15(P) > [COG 1 -F] > 22(W)
20:36:29  > FullPassThrough()                   |  - 22(W) > [COG 2 -F] > 3(D)
20:36:29  > FullPassThrough()                   |  - 3(D) > [UKW] > 7(H)
20:36:29  > FullPassThrough()                   |  - 7(H) > [COG 2 -R] > 6(G)
20:36:29  > FullPassThrough()                   |  - 6(G) > [COG 1 -R] > 19(T)
20:36:29  > FullPassThrough()                   |  - 19(T) > [COG 0 -R] > 19(T)
20:36:29  > FullPassThrough()                   |  - 19(T) > [Switchboard-R] > 12(M)
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - [SPACE] <Character Skipped>
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - 1(B) > [Switchboard-F] > 16(Q)
20:36:29  > FullPassThrough()                   |  - 16(Q) > [COG 0 -F] > 0(A)
20:36:29  > FullPassThrough()                   |  - 0(A) > [COG 1 -F] > 18(S)
20:36:29  > FullPassThrough()                   |  - 18(S) > [COG 2 -F] > 16(Q)
20:36:29  > FullPassThrough()                   |  - 16(Q) > [UKW] > 4(E)
20:36:29  > FullPassThrough()                   |  - 4(E) > [COG 2 -R] > 4(E)
20:36:29  > FullPassThrough()                   |  - 4(E) > [COG 1 -R] > 22(W)
20:36:29  > FullPassThrough()                   |  - 22(W) > [COG 0 -R] > 13(N)
20:36:29  > FullPassThrough()                   |  - 13(N) > [Switchboard-R] > 13(N)
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - 17(R) > [Switchboard-F] > 2(C)
20:36:29  > FullPassThrough()                   |  - 2(C) > [COG 0 -F] > 20(U)
20:36:29  > FullPassThrough()                   |  - 20(U) > [COG 1 -F] > 23(X)
20:36:29  > FullPassThrough()                   |  - 23(X) > [COG 2 -F] > 17(R)
20:36:29  > FullPassThrough()                   |  - 17(R) > [UKW] > 1(B)
20:36:29  > FullPassThrough()                   |  - 1(B) > [COG 2 -R] > 12(M)
20:36:29  > FullPassThrough()                   |  - 12(M) > [COG 1 -R] > 8(I)
20:36:29  > FullPassThrough()                   |  - 8(I) > [COG 0 -R] > 19(T)
20:36:29  > FullPassThrough()                   |  - 19(T) > [Switchboard-R] > 12(M)
20:36:29  > ------------------                  | 
20:36:29  > FullPassThrough()                   |  - 8(I) > [Switchboard-F] > 3(D)
20:36:29  > FullPassThrough()                   |  - 3(D) > [COG 0 -F] > 4(E)
20:36:29  > FullPassThrough()                   |  - 4(E) > [COG 1 -F] > 17(R)
20:36:29  > FullPassThrough()                   |  - 17(R) > [COG 2 -F] > 15(P)
