20:30:59  > Machine.powerOn()                   | First boot of engima machine
20:30:59  > Machine.InitialseCogs()             | Got cog settings from user
20:30:59  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
20:30:59  > Machine.InitialseUKW()              | Got reverser settings from user
20:30:59  > ------------------                  | 
20:30:59  > FullPassThrough()                   |  - 19(T) > [Switchboard-F] > 12(M)
20:30:59  > FullPassThrough()                   |  - 12(M) > [COG 0 -F] > 4(E)
20:30:59  > FullPassThrough()                   |  - 4(E) > [COG 1 -F] > 7(H)
20:30:59  > FullPassThrough()                   |  - 7(H) > [COG 2 -F] > 21(V)
20:30:59  > FullPassThrough()                   |  - 21(V) > [UKW] > 22(W)
20:30:59  > FullPassThrough()                   |  - 22(W) > [COG 2 -R] > 16(Q)
20:30:59  > FullPassThrough()                   |  - 16(Q) > [COG 1 -R] > 19(T)
20:30:59  > FullPassThrough()                   |  - 19(T) > [COG 0 -R] > 16(Q)
20:30:59  > FullPassThrough()                   |  - 16(Q) > [Switchboard-R] > 1(B)
20:30:59  > ------------------                  | 
20:30:59  > FullPassThrough()                   |  - 7(H) > [Switchboard-F] > 6(G)
20:30:59  > FullPassThrough()                   |  - 6(G) > [COG 0 -F] > 13(N)
20:30:59  > FullPassThrough()                   |  - 13(N) > [COG 1 -F] > 17(R)
20:30:59  > FullPassThrough()                   |  - 17(R) > [COG 2 -F] > 15(P)
20:30:59  > FullPassThrough()                   |  - 15(P) > [UKW] > 8(I)
20:30:59  > FullPassThrough()                   |  - 8(I) > [COG 2 -R] > 25(Z)
20:30:59  > FullPassThrough()                   |  - 25(Z) > [COG 1 -R] > 15(P)
20:30:59  > FullPassThrough()                   |  - 15(P) > [COG 0 -R] > 19(T)
20:30:59  > FullPassThrough()                   |  - 19(T) > [Switchboard-R] > 12(M)
20:30:59  > ------------------                  | 
20:30:59  > FullPassThrough()                   |  - 4(E) > [Switchboard-F] > 9(J)
20:30:59  > FullPassThrough()                   |  - 9(J) > [COG 0 -F] > 4(E)
20:30:59  > FullPassThrough()                   |  - 4(E) > [COG 1 -F] > 7(H)
20:30:59  > FullPassThrough()                   |  - 7(H) > [COG 2 -F] > 21(V)
20:30:59  > FullPassThrough()                   |  - 21(V) > [UKW] > 22(W)
20:30:59  > FullPassThrough()                   |  - 22(W) > [COG 2 -R] > 16(Q)
20:30:59  > FullPassThrough()                   |  - 16(Q) > [COG 1 -R] > 19(T)
20:30:59  > FullPassThrough()                   |  - 19(T) > [COG 0 -R] > 15(P)
20:30:59  > FullPassThrough()                   |  - 15(P) > [Switchboard-R] > 23(X)
20:30:59  > ------------------                  | 
20:30:59  > FullPassThrough()                   |  - [SPACE] <Character Skipped>
20:30:59  > ------------------                  | 
20:30:59  > FullPassThrough()                   |  - 24(Y) > [Switchboard-F] > 24(Y)
20:30:59  > FullPassThrough()                   |  - 24(Y) > [COG 0 -F] > 24(Y)
20:30:59  > FullPassThrough()                   |  - 24(Y) > [COG 1 -F] > 6(G)
20:30:59  > FullPassThrough()                   |  - 6(G) > [COG 2 -F] > 13(N)
20:30:59  > FullPassThrough()                   |  - 13(N) > [UKW] > 10(K)
20:30:59  > FullPassThrough()                   |  - 10(K) > [COG 2 -R] > 14(O)
20:30:59  > FullPassThrough()                   |  - 14(O) > [COG 1 -R] > 9(J)
20:30:59  > FullPassThrough()                   |  - 9(J) > [COG 0 -R] > 25(Z)
20:30:59  > FullPassThrough()                   |  - 25(Z) > [Switchboard-R] > 20(U)
