20:34:39  > Machine.powerOn()                   | First boot of engima machine
20:34:39  > Machine.InitialseCogs()             | Got cog settings from user
20:34:39  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
20:34:39  > Machine.InitialseUKW()              | Got reverser settings from user
20:34:39  > ------------------                  | 
20:34:39  > FullPassThrough()                   |  - 19(T) > [Switchboard-F] > 12(M)
20:34:39  > FullPassThrough()                   |  - 12(M) > [COG 0 -F] > 7(H)
20:34:39  > FullPassThrough()                   |  - 7(H) > [COG 1 -F] > 10(K)
20:34:39  > FullPassThrough()                   |  - 10(K) > [COG 2 -F] > 5(F)
20:34:39  > FullPassThrough()                   |  - 5(F) > [UKW] > 18(S)
20:34:39  > FullPassThrough()                   |  - 18(S) > [COG 2 -R] > 5(F)
20:34:39  > FullPassThrough()                   |  - 5(F) > [COG 1 -R] > 9(J)
20:34:39  > FullPassThrough()                   |  - 9(J) > [COG 0 -R] > 11(L)
20:34:39  > FullPassThrough()                   |  - 11(L) > [Switchboard-R] > 11(L)
20:34:39  > ------------------                  | 
20:34:39  > FullPassThrough()                   |  - 7(H) > [Switchboard-F] > 6(G)
20:34:39  > FullPassThrough()                   |  - 6(G) > [COG 0 -F] > 20(U)
20:34:39  > FullPassThrough()                   |  - 20(U) > [COG 1 -F] > 1(B)
20:34:39  > FullPassThrough()                   |  - 1(B) > [COG 2 -F] > 23(X)
20:34:39  > FullPassThrough()                   |  - 23(X) > [UKW] > 9(J)
20:34:39  > FullPassThrough()                   |  - 9(J) > [COG 2 -R] > 3(D)
20:34:39  > FullPassThrough()                   |  - 3(D) > [COG 1 -R] > 0(A)
20:34:39  > FullPassThrough()                   |  - 0(A) > [COG 0 -R] > 9(J)
20:34:39  > FullPassThrough()                   |  - 9(J) > [Switchboard-R] > 4(E)
20:34:39  > ------------------                  | 
20:34:39  > FullPassThrough()                   |  - 4(E) > [Switchboard-F] > 9(J)
20:34:39  > FullPassThrough()                   |  - 9(J) > [COG 0 -F] > 7(H)
20:34:39  > FullPassThrough()                   |  - 7(H) > [COG 1 -F] > 10(K)
20:34:39  > FullPassThrough()                   |  - 10(K) > [COG 2 -F] > 5(F)
20:34:39  > FullPassThrough()                   |  - 5(F) > [UKW] > 18(S)
20:34:39  > FullPassThrough()                   |  - 18(S) > [COG 2 -R] > 5(F)
20:34:39  > FullPassThrough()                   |  - 5(F) > [COG 1 -R] > 9(J)
20:34:39  > FullPassThrough()                   |  - 9(J) > [COG 0 -R] > 4(E)
20:34:39  > FullPassThrough()                   |  - 4(E) > [Switchboard-R] > 9(J)
20:34:39  > ------------------                  | 
20:34:39  > FullPassThrough()                   |  - [SPACE] <Character Skipped>
20:34:39  > ------------------                  | 
20:34:39  > FullPassThrough()                   |  - 24(Y) > [Switchboard-F] > 24(Y)
20:34:39  > FullPassThrough()                   |  - 24(Y) > [COG 0 -F] > 11(L)
20:34:39  > FullPassThrough()                   |  - 11(L) > [COG 1 -F] > 24(Y)
20:34:39  > FullPassThrough()                   |  - 24(Y) > [COG 2 -F] > 13(N)
20:34:39  > FullPassThrough()                   |  - 13(N) > [UKW] > 10(K)
20:34:39  > FullPassThrough()                   |  - 10(K) > [COG 2 -R] > 23(X)
20:34:39  > FullPassThrough()                   |  - 23(X) > [COG 1 -R] > 5(F)
20:34:39  > FullPassThrough()                   |  - 5(F) > [COG 0 -R] > 21(V)
20:34:39  > FullPassThrough()                   |  - 21(V) > [Switchboard-R] > 21(V)
20:34:39  > ------------------                  | 
20:34:39  > FullPassThrough()                   |  - 4(E) > [Switchboard-F] > 9(J)
20:34:39  > FullPassThrough()                   |  - 9(J) > [COG 0 -F] > 1(B)
20:34:39  > FullPassThrough()                   |  - 1(B) > [COG 1 -F] > 9(J)
20:34:39  > FullPassThrough()                   |  - 9(J) > [COG 2 -F] > 3(D)
20:34:39  > FullPassThrough()                   |  - 3(D) > [UKW] > 7(H)
20:34:39  > FullPassThrough()                   |  - 7(H) > [COG 2 -R] > 22(W)
20:34:39  > FullPassThrough()                   |  - 22(W) > [COG 1 -R] > 21(V)
20:34:39  > FullPassThrough()                   |  - 21(V) > [COG 0 -R] > 5(F)
20:34:39  > FullPassThrough()                   |  - 5(F) > [Switchboard-R] > 5(F)
20:34:39  > ------------------                  | 
20:34:39  > FullPassThrough()                   |  - 11(L) > [Switchboard-F] > 11(L)
20:34:39  > FullPassThrough()                   |  - 11(L) > [COG 0 -F] > 13(N)
20:34:39  > FullPassThrough()                   |  - 13(N) > [COG 1 -F] > 7(H)
20:34:39  > FullPassThrough()                   |  - 7(H) > [COG 2 -F] > 22(W)
20:34:39  > FullPassThrough()                   |  - 22(W) > [UKW] > 21(V)
20:34:39  > FullPassThrough()                   |  - 21(V) > [COG 2 -R] > 12(M)
20:34:39  > FullPassThrough()                   |  - 12(M) > [COG 1 -R] > 3(D)
20:34:39  > FullPassThrough()                   |  - 3(D) > [COG 0 -R] > 19(T)
20:34:39  > FullPassThrough()                   |  - 19(T) > [Switchboard-R] > 12(M)
20:34:39  > ------------------                  | 
20:34:39  > FullPassThrough()                   |  - 11(L) > [Switchboard-F] > 11(L)
20:34:39  > FullPassThrough()                   |  - 11(L) > [COG 0 -F] > 14(O)
20:34:39  > FullPassThrough()                   |  - 14(O) > [COG 1 -F] > 18(S)
20:34:39  > FullPassThrough()                   |  - 18(S) > [COG 2 -F] > 19(T)
20:34:39  > FullPassThrough()                   |  - 19(T) > [UKW] > 25(Z)
