21:02:47  > Machine.powerOn()                   | First boot of engima machine
21:02:47  > Machine.InitialseCogs()             | Got cog settings from user
21:02:47  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
21:02:47  > Machine.InitialseUKW()              | Got reverser settings from user
21:02:47  > ------------------                  | 
21:02:47  > FullPassThrough()                   |  - 16(Q) > [Switchboard-F] > 16(Q)
21:02:47  > FullPassThrough()                   |  - 16(Q) > [COG 0 -F] > 0(A)
21:02:47  > FullPassThrough()                   |  - 0(A) > [COG 1 -F] > 16(Q)
21:02:47  > FullPassThrough()                   |  - 16(Q) > [COG 2 -F] > 13(N)
21:02:47  > FullPassThrough()                   |  - 13(N) > [UKW] > 10(K)
21:02:47  > FullPassThrough()                   |  - 10(K) > [COG 2 -R] > 4(E)
21:02:47  > FullPassThrough()                   |  - 4(E) > [COG 1 -R] > 17(R)
21:02:47  > FullPassThrough()                   |  - 17(R) > [COG 0 -R] > 0(A)
21:02:47  > FullPassThrough()                   |  - 0(A) > [Switchboard-R] > 0(A)
21:02:47  > ------------------                  | 
21:02:47  > FullPassThrough()                   |  - 22(W) > [Switchboard-F] > 22(W)
21:02:47  > FullPassThrough()                   |  - 22(W) > [COG 0 -F] > 10(K)
21:02:47  > FullPassThrough()                   |  - 10(K) > [COG 1 -F] > 2(C)
21:02:47  > FullPassThrough()                   |  - 2(C) > [COG 2 -F] > 2(C)
21:02:47  > FullPassThrough()                   |  - 2(C) > [UKW] > 20(U)
21:02:47  > FullPassThrough()                   |  - 20(U) > [COG 2 -R] > 11(L)
21:02:47  > FullPassThrough()                   |  - 11(L) > [COG 1 -R] > 4(E)
21:02:47  > FullPassThrough()                   |  - 4(E) > [COG 0 -R] > 23(X)
21:02:47  > FullPassThrough()                   |  - 23(X) > [Switchboard-R] > 23(X)
21:02:47  > ------------------                  | 
21:02:47  > FullPassThrough()                   |  - 11(L) > [Switchboard-F] > 11(L)
21:02:47  > FullPassThrough()                   |  - 11(L) > [COG 0 -F] > 20(U)
21:02:47  > FullPassThrough()                   |  - 20(U) > [COG 1 -F] > 14(O)
21:02:47  > FullPassThrough()                   |  - 14(O) > [COG 2 -F] > 21(V)
21:02:47  > FullPassThrough()                   |  - 21(V) > [UKW] > 22(W)
21:02:47  > FullPassThrough()                   |  - 22(W) > [COG 2 -R] > 12(M)
21:02:47  > FullPassThrough()                   |  - 12(M) > [COG 1 -R] > 11(L)
