20:59:20  > Machine.powerOn()                   | First boot of engima machine
20:59:20  > Machine.InitialseCogs()             | Got cog settings from user
20:59:20  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
20:59:20  > Machine.InitialseUKW()              | Got reverser settings from user
20:59:20  > ------------------                  | 
20:59:20  > FullPassThrough()                   |  - 4(E) > [Switchboard-F] > 4(E)
20:59:20  > FullPassThrough()                   |  - 4(E) > [COG 0 -F] > 0(A)
20:59:20  > FullPassThrough()                   |  - 0(A) > [COG 1 -F] > 8(I)
20:59:20  > FullPassThrough()                   |  - 8(I) > [COG 2 -F] > 24(Y)
20:59:20  > FullPassThrough()                   |  - 24(Y) > [UKW] > 0(A)
20:59:20  > FullPassThrough()                   |  - 0(A) > [COG 2 -R] > 21(V)
20:59:20  > FullPassThrough()                   |  - 21(V) > [COG 1 -R] > 11(L)
20:59:20  > FullPassThrough()                   |  - 11(L) > [COG 0 -R] > 11(L)
20:59:20  > FullPassThrough()                   |  - 11(L) > [Switchboard-R] > 11(L)
20:59:20  > ------------------                  | 
20:59:20  > FullPassThrough()                   |  - 22(W) > [Switchboard-F] > 22(W)
20:59:20  > FullPassThrough()                   |  - 22(W) > [COG 0 -F] > 11(L)
20:59:20  > FullPassThrough()                   |  - 11(L) > [COG 1 -F] > 21(V)
20:59:20  > FullPassThrough()                   |  - 21(V) > [COG 2 -F] > 0(A)
20:59:20  > FullPassThrough()                   |  - 0(A) > [UKW] > 24(Y)
20:59:20  > FullPassThrough()                   |  - 24(Y) > [COG 2 -R] > 8(I)
20:59:20  > FullPassThrough()                   |  - 8(I) > [COG 1 -R] > 0(A)
20:59:20  > FullPassThrough()                   |  - 0(A) > [COG 0 -R] > 24(Y)
20:59:20  > FullPassThrough()                   |  - 24(Y) > [Switchboard-R] > 24(Y)
20:59:20  > ------------------                  | 
20:59:20  > FullPassThrough()                   |  - 19(T) > [Switchboard-F] > 19(T)
20:59:20  > FullPassThrough()                   |  - 19(T) > [COG 0 -F] > 14(O)
20:59:20  > FullPassThrough()                   |  - 14(O) > [COG 1 -F] > 1(B)
20:59:20  > FullPassThrough()                   |  - 1(B) > [COG 2 -F] > 11(L)
20:59:20  > FullPassThrough()                   |  - 11(L) > [UKW] > 6(G)
20:59:20  > FullPassThrough()                   |  - 6(G) > [COG 2 -R] > 14(O)
20:59:20  > FullPassThrough()                   |  - 14(O) > [COG 1 -R] > 19(T)
20:59:20  > FullPassThrough()                   |  - 19(T) > [COG 0 -R] > 6(G)
20:59:20  > FullPassThrough()                   |  - 6(G) > [Switchboard-R] > 6(G)
20:59:20  > ------------------                  | 
20:59:20  > FullPassThrough()                   |  - 24(Y) > [Switchboard-F] > 24(Y)
20:59:20  > FullPassThrough()                   |  - 24(Y) > [COG 0 -F] > 2(C)
20:59:20  > FullPassThrough()                   |  - 2(C) > [COG 1 -F] > 9(J)
20:59:20  > FullPassThrough()                   |  - 9(J) > [COG 2 -F] > 12(M)
20:59:20  > FullPassThrough()                   |  - 12(M) > [UKW] > 14(O)
20:59:20  > FullPassThrough()                   |  - 14(O) > [COG 2 -R] > 18(S)
20:59:20  > FullPassThrough()                   |  - 18(S) > [COG 1 -R] > 12(M)
20:59:20  > FullPassThrough()                   |  - 12(M) > [COG 0 -R] > 3(D)
20:59:20  > FullPassThrough()                   |  - 3(D) > [Switchboard-R] > 3(D)
20:59:20  > ------------------                  | 
20:59:20  > FullPassThrough()                   |  - 23(X) > [Switchboard-F] > 23(X)
20:59:20  > FullPassThrough()                   |  - 23(X) > [COG 0 -F] > 1(B)
20:59:20  > FullPassThrough()                   |  - 1(B) > [COG 1 -F] > 2(C)
20:59:20  > FullPassThrough()                   |  - 2(C) > [COG 2 -F] > 4(E)
20:59:20  > FullPassThrough()                   |  - 4(E) > [UKW] > 16(Q)
20:59:20  > FullPassThrough()                   |  - 16(Q) > [COG 2 -R] > 22(W)
20:59:20  > FullPassThrough()                   |  - 22(W) > [COG 1 -R] > 7(H)
20:59:20  > FullPassThrough()                   |  - 7(H) > [COG 0 -R] > 7(H)
20:59:20  > FullPassThrough()                   |  - 7(H) > [Switchboard-R] > 7(H)
20:59:20  > ------------------                  | 
20:59:20  > FullPassThrough()                   |  - 16(Q) > [Switchboard-F] > 16(Q)
20:59:20  > FullPassThrough()                   |  - 16(Q) > [COG 0 -F] > 11(L)
20:59:20  > FullPassThrough()                   |  - 11(L) > [COG 1 -F] > 21(V)
20:59:20  > FullPassThrough()                   |  - 21(V) > [COG 2 -F] > 0(A)
20:59:20  > FullPassThrough()                   |  - 0(A) > [UKW] > 24(Y)
20:59:20  > FullPassThrough()                   |  - 24(Y) > [COG 2 -R] > 8(I)
20:59:20  > FullPassThrough()                   |  - 8(I) > [COG 1 -R] > 0(A)
20:59:20  > FullPassThrough()                   |  - 0(A) > [COG 0 -R] > 22(W)
20:59:20  > FullPassThrough()                   |  - 22(W) > [Switchboard-R] > 22(W)
20:59:20  > ------------------                  | 
20:59:20  > FullPassThrough()                   |  - 21(V) > [Switchboard-F] > 21(V)
20:59:20  > FullPassThrough()                   |  - 21(V) > [COG 0 -F] > 25(Z)
20:59:20  > FullPassThrough()                   |  - 25(Z) > [COG 1 -F] > 25(Z)
20:59:20  > FullPassThrough()                   |  - 25(Z) > [COG 2 -F] > 3(D)
20:59:20  > FullPassThrough()                   |  - 3(D) > [UKW] > 7(H)
20:59:20  > FullPassThrough()                   |  - 7(H) > [COG 2 -R] > 20(U)
20:59:20  > FullPassThrough()                   |  - 20(U) > [COG 1 -R] > 22(W)
20:59:20  > FullPassThrough()                   |  - 22(W) > [COG 0 -R] > 7(H)
20:59:20  > FullPassThrough()                   |  - 7(H) > [Switchboard-R] > 7(H)
20:59:20  > ------------------                  | 
20:59:20  > FullPassThrough()                   |  - 2(C) > [Switchboard-F] > 2(C)
20:59:20  > FullPassThrough()                   |  - 2(C) > [COG 0 -F] > 12(M)
20:59:20  > FullPassThrough()                   |  - 12(M) > [COG 1 -F] > 18(S)
20:59:20  > FullPassThrough()                   |  - 18(S) > [COG 2 -F] > 14(O)
20:59:20  > FullPassThrough()                   |  - 14(O) > [UKW] > 12(M)
20:59:20  > FullPassThrough()                   |  - 12(M) > [COG 2 -R] > 9(J)
20:59:20  > FullPassThrough()                   |  - 9(J) > [COG 1 -R] > 2(C)
20:59:20  > FullPassThrough()                   |  - 2(C) > [COG 0 -R] > 22(W)
20:59:20  > FullPassThrough()                   |  - 22(W) > [Switchboard-R] > 22(W)
20:59:20  > ------------------                  | 
20:59:20  > FullPassThrough()                   |  - 22(W) > [Switchboard-F] > 22(W)
20:59:20  > FullPassThrough()                   |  - 22(W) > [COG 0 -F] > 18(S)
20:59:20  > FullPassThrough()                   |  - 18(S) > [COG 1 -F] > 12(M)
20:59:20  > FullPassThrough()                   |  - 12(M) > [COG 2 -F] > 21(V)
20:59:20  > FullPassThrough()                   |  - 21(V) > [UKW] > 22(W)
20:59:20  > FullPassThrough()                   |  - 22(W) > [COG 2 -R] > 15(P)
20:59:20  > FullPassThrough()                   |  - 15(P) > [COG 1 -R] > 15(P)
20:59:20  > FullPassThrough()                   |  - 15(P) > [COG 0 -R] > 2(C)
20:59:20  > FullPassThrough()                   |  - 2(C) > [Switchboard-R] > 2(C)
20:59:20  > ------------------                  | 
20:59:20  > FullPassThrough()                   |  - 12(M) > [Switchboard-F] > 12(M)
20:59:20  > FullPassThrough()                   |  - 12(M) > [COG 0 -F] > 7(H)
20:59:20  > FullPassThrough()                   |  - 7(H) > [COG 1 -F] > 22(W)
20:59:20  > FullPassThrough()                   |  - 22(W) > [COG 2 -F] > 16(Q)
20:59:20  > FullPassThrough()                   |  - 16(Q) > [UKW] > 4(E)
20:59:20  > FullPassThrough()                   |  - 4(E) > [COG 2 -R] > 2(C)
20:59:20  > FullPassThrough()                   |  - 2(C) > [COG 1 -R] > 1(B)
20:59:20  > FullPassThrough()                   |  - 1(B) > [COG 0 -R] > 10(K)
20:59:20  > FullPassThrough()                   |  - 10(K) > [Switchboard-R] > 10(K)
20:59:20  > ------------------                  | 
20:59:20  > FullPassThrough()                   |  - 1(B) > [Switchboard-F] > 1(B)
20:59:20  > FullPassThrough()                   |  - 1(B) > [COG 0 -F] > 1(B)
20:59:20  > FullPassThrough()                   |  - 1(B) > [COG 1 -F] > 2(C)
