20:15:56  > Machine.powerOn()                   | First boot of engima machine
20:15:56  > Machine.InitialseCogs()             | Got cog settings from user
20:15:56  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
20:15:56  > Machine.InitialseUKW()              | Got reverser settings from user
20:15:56  > ------------------                  | 
20:15:56  > FullPassThrough()                   |  - 19(T) > [Switchboard-F] > 12(M)
20:15:56  > FullPassThrough()                   |  - 12(M) > [COG 0 -F] > 4(E)
20:15:56  > FullPassThrough()                   |  - 4(E) > [COG 1 -F] > 17(R)
20:15:56  > FullPassThrough()                   |  - 17(R) > [COG 2 -F] > 18(S)
20:15:56  > FullPassThrough()                   |  - 18(S) > [UKW] > 5(F)
20:15:56  > FullPassThrough()                   |  - 5(F) > [COG 2 -R] > 18(S)
20:15:56  > FullPassThrough()                   |  - 18(S) > [COG 1 -R] > 8(I)
20:15:56  > FullPassThrough()                   |  - 8(I) > [COG 0 -R] > 10(K)
20:15:56  > FullPassThrough()                   |  - 10(K) > [Switchboard-R] > 22(W)
20:15:56  > ------------------                  | 
20:15:56  > FullPassThrough()                   |  - 7(H) > [Switchboard-F] > 6(G)
20:15:56  > FullPassThrough()                   |  - 6(G) > [COG 0 -F] > 13(N)
20:15:56  > FullPassThrough()                   |  - 13(N) > [COG 1 -F] > 20(U)
20:15:56  > FullPassThrough()                   |  - 20(U) > [COG 2 -F] > 2(C)
20:15:56  > FullPassThrough()                   |  - 2(C) > [UKW] > 20(U)
20:15:56  > FullPassThrough()                   |  - 20(U) > [COG 2 -R] > 2(C)
20:15:56  > FullPassThrough()                   |  - 2(C) > [COG 1 -R] > 20(U)
20:15:56  > FullPassThrough()                   |  - 20(U) > [COG 0 -R] > 16(Q)
20:15:56  > FullPassThrough()                   |  - 16(Q) > [Switchboard-R] > 1(B)
20:15:56  > ------------------                  | 
20:15:56  > FullPassThrough()                   |  - 4(E) > [Switchboard-F] > 9(J)
20:15:56  > FullPassThrough()                   |  - 9(J) > [COG 0 -F] > 4(E)
20:15:56  > FullPassThrough()                   |  - 4(E) > [COG 1 -F] > 17(R)
20:15:56  > FullPassThrough()                   |  - 17(R) > [COG 2 -F] > 18(S)
20:15:56  > FullPassThrough()                   |  - 18(S) > [UKW] > 5(F)
20:15:56  > FullPassThrough()                   |  - 5(F) > [COG 2 -R] > 18(S)
20:15:56  > FullPassThrough()                   |  - 18(S) > [COG 1 -R] > 8(I)
20:15:56  > FullPassThrough()                   |  - 8(I) > [COG 0 -R] > 3(D)
20:15:56  > FullPassThrough()                   |  - 3(D) > [Switchboard-R] > 8(I)
20:15:56  > ------------------                  | 
20:15:56  > FullPassThrough()                   |  - [SPACE] <Character Skipped>
20:15:56  > ------------------                  | 
20:15:56  > FullPassThrough()                   |  - 11(L) > [Switchboard-F] > 11(L)
20:15:56  > FullPassThrough()                   |  - 11(L) > [COG 0 -F] > 12(M)
20:15:56  > FullPassThrough()                   |  - 12(M) > [COG 1 -F] > 14(O)
20:15:56  > FullPassThrough()                   |  - 14(O) > [COG 2 -F] > 10(K)
20:15:56  > FullPassThrough()                   |  - 10(K) > [UKW] > 13(N)
20:15:56  > FullPassThrough()                   |  - 13(N) > [COG 2 -R] > 1(B)
20:15:56  > FullPassThrough()                   |  - 1(B) > [COG 1 -R] > 1(B)
20:15:56  > FullPassThrough()                   |  - 1(B) > [COG 0 -R] > 9(J)
20:15:56  > FullPassThrough()                   |  - 9(J) > [Switchboard-R] > 4(E)
20:15:56  > ------------------                  | 
20:15:56  > FullPassThrough()                   |  - 14(O) > [Switchboard-F] > 18(S)
20:15:56  > FullPassThrough()                   |  - 18(S) > [COG 0 -F] > 1(B)
20:15:56  > FullPassThrough()                   |  - 1(B) > [COG 1 -F] > 1(B)
20:15:56  > FullPassThrough()                   |  - 1(B) > [COG 2 -F] > 13(N)
20:15:56  > FullPassThrough()                   |  - 13(N) > [UKW] > 10(K)
20:15:56  > FullPassThrough()                   |  - 10(K) > [COG 2 -R] > 14(O)
20:15:56  > FullPassThrough()                   |  - 14(O) > [COG 1 -R] > 12(M)
20:15:56  > FullPassThrough()                   |  - 12(M) > [COG 0 -R] > 16(Q)
