21:00:46  > Machine.powerOn()                   | First boot of engima machine
21:00:46  > Machine.InitialseCogs()             | Got cog settings from user
21:00:46  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
21:00:46  > Machine.InitialseUKW()              | Got reverser settings from user
21:00:46  > ------------------                  | 
21:00:46  > FullPassThrough()                   |  - 4(E) > [Switchboard-F] > 4(E)
21:00:46  > FullPassThrough()                   |  - 4(E) > [COG 0 -F] > 9(J)
21:00:46  > FullPassThrough()                   |  - 9(J) > [COG 1 -F] > 24(Y)
21:00:46  > FullPassThrough()                   |  - 24(Y) > [COG 2 -F] > 18(S)
21:00:46  > FullPassThrough()                   |  - 18(S) > [UKW] > 5(F)
21:00:46  > FullPassThrough()                   |  - 5(F) > [COG 2 -R] > 1(B)
21:00:46  > FullPassThrough()                   |  - 1(B) > [COG 1 -R] > 1(B)
21:00:46  > FullPassThrough()                   |  - 1(B) > [COG 0 -R] > 0(A)
21:00:46  > FullPassThrough()                   |  - 0(A) > [Switchboard-R] > 0(A)
21:00:46  > ------------------                  | 
21:00:46  > FullPassThrough()                   |  - 22(W) > [Switchboard-F] > 22(W)
21:00:46  > FullPassThrough()                   |  - 22(W) > [COG 0 -F] > 17(R)
21:00:46  > FullPassThrough()                   |  - 17(R) > [COG 1 -F] > 17(R)
21:00:46  > FullPassThrough()                   |  - 17(R) > [COG 2 -F] > 24(Y)
21:00:46  > FullPassThrough()                   |  - 24(Y) > [UKW] > 0(A)
21:00:46  > FullPassThrough()                   |  - 0(A) > [COG 2 -R] > 10(K)
21:00:46  > FullPassThrough()                   |  - 10(K) > [COG 1 -R] > 2(C)
21:00:46  > FullPassThrough()                   |  - 2(C) > [COG 0 -R] > 0(A)
21:00:46  > FullPassThrough()                   |  - 0(A) > [Switchboard-R] > 0(A)
21:00:46  > ------------------                  | 
21:00:46  > FullPassThrough()                   |  - 19(T) > [Switchboard-F] > 19(T)
21:00:46  > FullPassThrough()                   |  - 19(T) > [COG 0 -F] > 10(K)
21:00:46  > FullPassThrough()                   |  - 10(K) > [COG 1 -F] > 2(C)
21:00:46  > FullPassThrough()                   |  - 2(C) > [COG 2 -F] > 11(L)
21:00:46  > FullPassThrough()                   |  - 11(L) > [UKW] > 6(G)
21:00:46  > FullPassThrough()                   |  - 6(G) > [COG 2 -R] > 4(E)
21:00:46  > FullPassThrough()                   |  - 4(E) > [COG 1 -R] > 3(D)
21:00:46  > FullPassThrough()                   |  - 3(D) > [COG 0 -R] > 0(A)
21:00:46  > FullPassThrough()                   |  - 0(A) > [Switchboard-R] > 0(A)
21:00:46  > ------------------                  | 
21:00:46  > FullPassThrough()                   |  - 24(Y) > [Switchboard-F] > 24(Y)
21:00:46  > FullPassThrough()                   |  - 24(Y) > [COG 0 -F] > 0(A)
21:00:46  > FullPassThrough()                   |  - 0(A) > [COG 1 -F] > 5(F)
21:00:46  > FullPassThrough()                   |  - 5(F) > [COG 2 -F] > 12(M)
21:00:46  > FullPassThrough()                   |  - 12(M) > [UKW] > 14(O)
21:00:46  > FullPassThrough()                   |  - 14(O) > [COG 2 -R] > 11(L)
21:00:46  > FullPassThrough()                   |  - 11(L) > [COG 1 -R] > 4(E)
21:00:46  > FullPassThrough()                   |  - 4(E) > [COG 0 -R] > 0(A)
21:00:46  > FullPassThrough()                   |  - 0(A) > [Switchboard-R] > 0(A)
21:00:46  > ------------------                  | 
21:00:46  > FullPassThrough()                   |  - 23(X) > [Switchboard-F] > 23(X)
21:00:46  > FullPassThrough()                   |  - 23(X) > [COG 0 -F] > 25(Z)
21:00:46  > FullPassThrough()                   |  - 25(Z) > [COG 1 -F] > 15(P)
21:00:46  > FullPassThrough()                   |  - 15(P) > [COG 2 -F] > 25(Z)
21:00:46  > FullPassThrough()                   |  - 25(Z) > [UKW] > 19(T)
21:00:46  > FullPassThrough()                   |  - 19(T) > [COG 2 -R] > 19(T)
