20:57:42  > Machine.powerOn()                   | First boot of engima machine
20:57:42  > Machine.InitialseCogs()             | Got cog settings from user
20:57:42  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
20:57:42  > Machine.InitialseUKW()              | Got reverser settings from user
20:57:42  > ------------------                  | 
20:57:42  > FullPassThrough()                   |  - 1(B) > [Switchboard-F] > 1(B)
20:57:42  > FullPassThrough()                   |  - 1(B) > [COG 0 -F] > 6(G)
20:57:42  > FullPassThrough()                   |  - 6(G) > [COG 1 -F] > 6(G)
20:57:42  > FullPassThrough()                   |  - 6(G) > [COG 2 -F] > 3(D)
20:57:42  > FullPassThrough()                   |  - 3(D) > [UKW] > 7(H)
20:57:42  > FullPassThrough()                   |  - 7(H) > [COG 2 -R] > 15(P)
20:57:42  > FullPassThrough()                   |  - 15(P) > [COG 1 -R] > 8(I)
20:57:42  > FullPassThrough()                   |  - 8(I) > [COG 0 -R] > 24(Y)
20:57:42  > FullPassThrough()                   |  - 24(Y) > [Switchboard-R] > 24(Y)
20:57:42  > ------------------                  | 
20:57:42  > FullPassThrough()                   |  - 14(O) > [Switchboard-F] > 14(O)
20:57:42  > FullPassThrough()                   |  - 14(O) > [COG 0 -F] > 20(U)
20:57:42  > FullPassThrough()                   |  - 20(U) > [COG 1 -F] > 8(I)
20:57:42  > FullPassThrough()                   |  - 8(I) > [COG 2 -F] > 21(V)
20:57:42  > FullPassThrough()                   |  - 21(V) > [UKW] > 22(W)
20:57:42  > FullPassThrough()                   |  - 22(W) > [COG 2 -R] > 13(N)
20:57:42  > FullPassThrough()                   |  - 13(N) > [COG 1 -R] > 24(Y)
20:57:42  > FullPassThrough()                   |  - 24(Y) > [COG 0 -R] > 16(Q)
20:57:42  > FullPassThrough()                   |  - 16(Q) > [Switchboard-R] > 16(Q)
20:57:42  > ------------------                  | 
20:57:42  > FullPassThrough()                   |  - 14(O) > [Switchboard-F] > 14(O)
20:57:42  > FullPassThrough()                   |  - 14(O) > [COG 0 -F] > 10(K)
20:57:42  > FullPassThrough()                   |  - 10(K) > [COG 1 -F] > 5(F)
20:57:42  > FullPassThrough()                   |  - 5(F) > [COG 2 -F] > 6(G)
20:57:42  > FullPassThrough()                   |  - 6(G) > [UKW] > 11(L)
20:57:42  > FullPassThrough()                   |  - 11(L) > [COG 2 -R] > 4(E)
20:57:42  > FullPassThrough()                   |  - 4(E) > [COG 1 -R] > 14(O)
20:57:42  > FullPassThrough()                   |  - 14(O) > [COG 0 -R] > 0(A)
20:57:42  > FullPassThrough()                   |  - 0(A) > [Switchboard-R] > 0(A)
20:57:42  > ------------------                  | 
20:57:42  > FullPassThrough()                   |  - 19(T) > [Switchboard-F] > 19(T)
20:57:42  > FullPassThrough()                   |  - 19(T) > [COG 0 -F] > 6(G)
20:57:42  > FullPassThrough()                   |  - 6(G) > [COG 1 -F] > 6(G)
20:57:42  > FullPassThrough()                   |  - 6(G) > [COG 2 -F] > 3(D)
20:57:42  > FullPassThrough()                   |  - 3(D) > [UKW] > 7(H)
20:57:42  > FullPassThrough()                   |  - 7(H) > [COG 2 -R] > 15(P)
20:57:42  > FullPassThrough()                   |  - 15(P) > [COG 1 -R] > 8(I)
20:57:42  > FullPassThrough()                   |  - 8(I) > [COG 0 -R] > 7(H)
20:57:42  > FullPassThrough()                   |  - 7(H) > [Switchboard-R] > 7(H)
20:57:42  > ------------------                  | 
20:57:42  > FullPassThrough()                   |  - 24(Y) > [Switchboard-F] > 24(Y)
20:57:42  > FullPassThrough()                   |  - 24(Y) > [COG 0 -F] > 12(M)
20:57:42  > FullPassThrough()                   |  - 12(M) > [COG 1 -F] > 21(V)
20:57:42  > FullPassThrough()                   |  - 21(V) > [COG 2 -F] > 8(I)
20:57:42  > FullPassThrough()                   |  - 8(I) > [UKW] > 15(P)
20:57:42  > FullPassThrough()                   |  - 15(P) > [COG 2 -R] > 19(T)
20:57:42  > FullPassThrough()                   |  - 19(T) > [COG 1 -R] > 18(S)
20:57:42  > FullPassThrough()                   |  - 18(S) > [COG 0 -R] > 1(B)
20:57:42  > FullPassThrough()                   |  - 1(B) > [Switchboard-R] > 1(B)
20:57:42  > ------------------                  | 
20:57:42  > FullPassThrough()                   |  - [SPACE] <Character Skipped>
20:57:42  > ------------------                  | 
20:57:42  > FullPassThrough()                   |  - 2(C) > [Switchboard-F] > 2(C)
20:57:42  > FullPassThrough()                   |  - 2(C) > [COG 0 -F] > 23(X)
20:57:42  > FullPassThrough()                   |  - 23(X) > [COG 1 -F] > 10(K)
20:57:42  > FullPassThrough()                   |  - 10(K) > [COG 2 -F] > 13(N)
20:57:42  > FullPassThrough()                   |  - 13(N) > [UKW] > 10(K)
20:57:42  > FullPassThrough()                   |  - 10(K) > [COG 2 -R] > 1(B)
20:57:42  > FullPassThrough()                   |  - 1(B) > [COG 1 -R] > 0(A)
20:57:42  > FullPassThrough()                   |  - 0(A) > [COG 0 -R] > 16(Q)
20:57:42  > FullPassThrough()                   |  - 16(Q) > [Switchboard-R] > 16(Q)
20:57:42  > ------------------                  | 
20:57:42  > FullPassThrough()                   |  - 11(L) > [Switchboard-F] > 11(L)
20:57:42  > FullPassThrough()                   |  - 11(L) > [COG 0 -F] > 19(T)
20:57:42  > FullPassThrough()                   |  - 19(T) > [COG 1 -F] > 7(H)
20:57:42  > FullPassThrough()                   |  - 7(H) > [COG 2 -F] > 16(Q)
20:57:42  > FullPassThrough()                   |  - 16(Q) > [UKW] > 4(E)
20:57:42  > FullPassThrough()                   |  - 4(E) > [COG 2 -R] > 0(A)
20:57:42  > FullPassThrough()                   |  - 0(A) > [COG 1 -R] > 25(Z)
20:57:42  > FullPassThrough()                   |  - 25(Z) > [COG 0 -R] > 15(P)
20:57:42  > FullPassThrough()                   |  - 15(P) > [Switchboard-R] > 15(P)
20:57:42  > ------------------                  | 
20:57:42  > FullPassThrough()                   |  - 0(A) > [Switchboard-F] > 0(A)
20:57:42  > FullPassThrough()                   |  - 0(A) > [COG 0 -F] > 21(V)
20:57:42  > FullPassThrough()                   |  - 21(V) > [COG 1 -F] > 6(G)
20:57:42  > FullPassThrough()                   |  - 6(G) > [COG 2 -F] > 3(D)
20:57:42  > FullPassThrough()                   |  - 3(D) > [UKW] > 7(H)
20:57:42  > FullPassThrough()                   |  - 7(H) > [COG 2 -R] > 15(P)
20:57:42  > FullPassThrough()                   |  - 15(P) > [COG 1 -R] > 15(P)
20:57:42  > FullPassThrough()                   |  - 15(P) > [COG 0 -R] > 24(Y)
20:57:42  > FullPassThrough()                   |  - 24(Y) > [Switchboard-R] > 24(Y)
20:57:42  > ------------------                  | 
20:57:42  > FullPassThrough()                   |  - 19(T) > [Switchboard-F] > 19(T)
20:57:42  > FullPassThrough()                   |  - 19(T) > [COG 0 -F] > 24(Y)
20:57:42  > FullPassThrough()                   |  - 24(Y) > [COG 1 -F] > 16(Q)
20:57:42  > FullPassThrough()                   |  - 16(Q) > [COG 2 -F] > 23(X)
20:57:42  > FullPassThrough()                   |  - 23(X) > [UKW] > 9(J)
20:57:42  > FullPassThrough()                   |  - 9(J) > [COG 2 -R] > 25(Z)
20:57:42  > FullPassThrough()                   |  - 25(Z) > [COG 1 -R] > 18(S)
20:57:42  > FullPassThrough()                   |  - 18(S) > [COG 0 -R] > 0(A)
20:57:42  > FullPassThrough()                   |  - 0(A) > [Switchboard-R] > 0(A)
20:57:42  >                                     | 
20:57:42  > -- --                               | 
