11:45:33  > Machine.powerOn()                   | First boot of engima machine
11:45:33  > Machine.InitialseCogs()             | Got cog settings from user
11:45:33  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
11:45:33  > Machine.InitialseUKW()              | Got reverser settings from user
11:45:33  > ------------------                  | 
11:45:33  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:45:33  > FullPassThrough()                   |  - Cog in position 1 reached turnover, Cog in position 2 Incremented
11:45:33  > FullPassThrough()                   |  - 19(T) > [Switchboard-F] > 19(T)
11:45:33  > FullPassThrough()                   |  - 19(T) > [COG 0 -F] > 9(J)
11:45:33  > FullPassThrough()                   |  - 9(J) > [COG 1 -F] > -7(:)
11:45:33  > FullPassThrough()                   |  - -7(:) > [COG 2 -F] > 23(X)
11:45:33  > FullPassThrough()                   |  - 23(X) > [UKW] > 9(J)
11:45:33  > FullPassThrough()                   |  - 9(J) > [COG 2 -R] > -1(@)
11:45:33  > FullPassThrough()                   |  - -1(@) > [COG 1 -R] > 3(D)
11:45:33  > FullPassThrough()                   |  - 3(D) > [COG 0 -R] > 11(L)
11:45:33  > FullPassThrough()                   |  - 11(L) > [Switchboard-R] > 11(L)
11:45:33  > ------------------                  | 
11:45:33  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:45:33  > FullPassThrough()                   |  - 7(H) > [Switchboard-F] > 7(H)
11:45:33  > FullPassThrough()                   |  - 7(H) > [COG 0 -F] > 19(T)
11:45:33  > FullPassThrough()                   |  - 19(T) > [COG 1 -F] > 9(J)
11:45:33  > FullPassThrough()                   |  - 9(J) > [COG 2 -F] > -10(7)
11:45:33  > FullPassThrough()                   |  - -10(7) > [UKW] > 4(E)
11:45:33  > FullPassThrough()                   |  - 4(E) > [COG 2 -R] > 15(P)
11:45:33  > FullPassThrough()                   |  - 15(P) > [COG 1 -R] > 13(N)
11:45:33  > FullPassThrough()                   |  - 13(N) > [COG 0 -R] > 20(U)
11:45:33  > FullPassThrough()                   |  - 20(U) > [Switchboard-R] > 20(U)
11:45:33  > ------------------                  | 
11:45:33  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:45:33  > FullPassThrough()                   |  - 8(I) > [Switchboard-F] > 8(I)
11:45:33  > FullPassThrough()                   |  - 8(I) > [COG 0 -F] > 16(Q)
11:45:33  > FullPassThrough()                   |  - 16(Q) > [COG 1 -F] > 13(N)
11:45:33  > FullPassThrough()                   |  - 13(N) > [COG 2 -F] > 8(I)
11:45:33  > FullPassThrough()                   |  - 8(I) > [UKW] > 15(P)
11:45:33  > FullPassThrough()                   |  - 15(P) > [COG 2 -R] > 2(C)
11:45:33  > FullPassThrough()                   |  - 2(C) > [COG 1 -R] > 2(C)
11:45:33  > FullPassThrough()                   |  - 2(C) > [COG 0 -R] > 21(V)
11:45:33  > FullPassThrough()                   |  - 21(V) > [Switchboard-R] > 21(V)
11:45:33  > ------------------                  | 
11:45:33  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:45:33  > FullPassThrough()                   |  - 18(S) > [Switchboard-F] > 18(S)
11:45:33  > FullPassThrough()                   |  - 18(S) > [COG 0 -F] > 11(L)
11:45:33  > FullPassThrough()                   |  - 11(L) > [COG 1 -F] > 20(U)
11:45:33  > FullPassThrough()                   |  - 20(U) > [COG 2 -F] > 25(Z)
11:45:33  > FullPassThrough()                   |  - 25(Z) > [UKW] > 19(T)
11:45:33  > FullPassThrough()                   |  - 19(T) > [COG 2 -R] > 17(R)
11:45:33  > FullPassThrough()                   |  - 17(R) > [COG 1 -R] > 25(Z)
11:45:33  > FullPassThrough()                   |  - 25(Z) > [COG 0 -R] > 21(V)
11:45:33  > FullPassThrough()                   |  - 21(V) > [Switchboard-R] > 21(V)
11:45:33  > ------------------                  | 
11:45:33  > FullPassThrough()                   |  - [SPACE] <Character Skipped>
11:45:33  > ------------------                  | 
11:45:33  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:45:33  > FullPassThrough()                   |  - 8(I) > [Switchboard-F] > 8(I)
11:45:33  > FullPassThrough()                   |  - 8(I) > [COG 0 -F] > 9(J)
11:45:33  > FullPassThrough()                   |  - 9(J) > [COG 1 -F] > -7(:)
11:45:33  > FullPassThrough()                   |  - -7(:) > [COG 2 -F] > 23(X)
11:45:33  > FullPassThrough()                   |  - 23(X) > [UKW] > 9(J)
11:45:33  > FullPassThrough()                   |  - 9(J) > [COG 2 -R] > -1(@)
11:45:33  > FullPassThrough()                   |  - -1(@) > [COG 1 -R] > 3(D)
11:45:33  > FullPassThrough()                   |  - 3(D) > [COG 0 -R] > 9(J)
11:45:33  > FullPassThrough()                   |  - 9(J) > [Switchboard-R] > 9(J)
11:45:33  > ------------------                  | 
11:45:33  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:45:33  > FullPassThrough()                   |  - 18(S) > [Switchboard-F] > 18(S)
11:45:33  > FullPassThrough()                   |  - 18(S) > [COG 0 -F] > -1(@)
11:45:33  > FullPassThrough()                   |  - -1(@) > [COG 1 -F] > 17(R)
11:45:33  > FullPassThrough()                   |  - 17(R) > [COG 2 -F] > 19(T)
11:45:33  > FullPassThrough()                   |  - 19(T) > [UKW] > 25(Z)
11:45:33  > FullPassThrough()                   |  - 25(Z) > [COG 2 -R] > 20(U)
11:45:33  > FullPassThrough()                   |  - 20(U) > [COG 1 -R] > 11(L)
11:45:33  > FullPassThrough()                   |  - 11(L) > [COG 0 -R] > 15(P)
11:45:33  > FullPassThrough()                   |  - 15(P) > [Switchboard-R] > 15(P)
11:45:33  > ------------------                  | 
11:45:33  > FullPassThrough()                   |  - [SPACE] <Character Skipped>
11:45:33  > ------------------                  | 
11:45:33  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:45:33  > FullPassThrough()                   |  - 0(A) > [Switchboard-F] > 0(A)
11:45:33  > FullPassThrough()                   |  - 0(A) > [COG 0 -F] > 13(N)
11:45:33  > FullPassThrough()                   |  - 13(N) > [COG 1 -F] > 15(P)
11:45:33  > FullPassThrough()                   |  - 15(P) > [COG 2 -F] > 4(E)
11:45:33  > FullPassThrough()                   |  - 4(E) > [UKW] > 16(Q)
11:45:33  > FullPassThrough()                   |  - 16(Q) > [COG 2 -R] > 9(J)
11:45:33  > FullPassThrough()                   |  - 9(J) > [COG 1 -R] > -7(:)
11:45:33  > FullPassThrough()                   |  - -7(:) > [COG 0 -R] > -5(<)
11:45:33  > FullPassThrough()                   |  - -5(<) > [Switchboard-R] > 21(V)
11:45:33  > ------------------                  | 
11:45:33  > FullPassThrough()                   |  - [SPACE] <Character Skipped>
11:45:33  > ------------------                  | 
11:45:33  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:45:33  > FullPassThrough()                   |  - 19(T) > [Switchboard-F] > 19(T)
11:45:33  > FullPassThrough()                   |  - 19(T) > [COG 0 -F] > 14(O)
11:45:33  > FullPassThrough()                   |  - 14(O) > [COG 1 -F] > 21(V)
11:45:33  > FullPassThrough()                   |  - 21(V) > [COG 2 -F] > 1(B)
11:45:33  > FullPassThrough()                   |  - 1(B) > [UKW] > 17(R)
11:45:33  > FullPassThrough()                   |  - 17(R) > [COG 2 -R] > 16(Q)
11:45:33  > FullPassThrough()                   |  - 16(Q) > [COG 1 -R] > 15(P)
11:45:33  > FullPassThrough()                   |  - 15(P) > [COG 0 -R] > 10(K)
11:45:33  > FullPassThrough()                   |  - 10(K) > [Switchboard-R] > 10(K)
11:45:33  > ------------------                  | 
11:45:33  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:45:33  > FullPassThrough()                   |  - 4(E) > [Switchboard-F] > 4(E)
11:45:33  > FullPassThrough()                   |  - 4(E) > [COG 0 -F] > 5(F)
11:45:33  > FullPassThrough()                   |  - 5(F) > [COG 1 -F] > -8(9)
11:45:33  > FullPassThrough()                   |  - -8(9) > [COG 2 -F] > 21(V)
11:45:33  > FullPassThrough()                   |  - 21(V) > [UKW] > 22(W)
11:45:33  > FullPassThrough()                   |  - 22(W) > [COG 2 -R] > 8(I)
11:45:33  > FullPassThrough()                   |  - 8(I) > [COG 1 -R] > -2(?)
11:45:33  > FullPassThrough()                   |  - -2(?) > [COG 0 -R] > 22(W)
11:45:33  > FullPassThrough()                   |  - 22(W) > [Switchboard-R] > 22(W)
11:45:33  > ------------------                  | 
11:45:33  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:45:33  > FullPassThrough()                   |  - 18(S) > [Switchboard-F] > 18(S)
11:45:33  > FullPassThrough()                   |  - 18(S) > [COG 0 -F] > 16(Q)
11:45:33  > FullPassThrough()                   |  - 16(Q) > [COG 1 -F] > 13(N)
11:45:33  > FullPassThrough()                   |  - 13(N) > [COG 2 -F] > 8(I)
11:45:33  > FullPassThrough()                   |  - 8(I) > [UKW] > 15(P)
11:45:33  > FullPassThrough()                   |  - 15(P) > [COG 2 -R] > 2(C)
11:45:33  > FullPassThrough()                   |  - 2(C) > [COG 1 -R] > 2(C)
11:45:33  > FullPassThrough()                   |  - 2(C) > [COG 0 -R] > 5(F)
11:45:33  > FullPassThrough()                   |  - 5(F) > [Switchboard-R] > 5(F)
