11:29:11  > Machine.powerOn()                   | First boot of engima machine
11:29:11  > Machine.InitialseCogs()             | Got cog settings from user
11:29:11  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
11:29:11  > Machine.InitialseUKW()              | Got reverser settings from user
11:29:11  > ------------------                  | 
11:29:11  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:29:11  > FullPassThrough()                   |  - 4(E) > [Switchboard-F] > 5(F)
11:29:11  > FullPassThrough()                   |  - 5(F) > [COG 0 -F] > 14(O)
11:29:11  > FullPassThrough()                   |  - 14(O) > [COG 1 -F] > 1(B)
11:29:11  > FullPassThrough()                   |  - 1(B) > [COG 2 -F] > 4(E)
11:29:11  > FullPassThrough()                   |  - 4(E) > [UKW] > 8(I)
11:29:11  > FullPassThrough()                   |  - 8(I) > [COG 2 -R] > 3(D)
11:29:11  > FullPassThrough()                   |  - 3(D) > [COG 1 -R] > 24(Y)
11:29:11  > FullPassThrough()                   |  - 24(Y) > [COG 0 -R] > 18(S)
11:29:11  > FullPassThrough()                   |  - 18(S) > [Switchboard-R] > 19(T)
11:29:11  > ------------------                  | 
11:29:11  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:29:11  > FullPassThrough()                   |  - 24(Y) > [Switchboard-F] > 24(Y)
11:29:11  > FullPassThrough()                   |  - 24(Y) > [COG 0 -F] > 7(H)
11:29:11  > FullPassThrough()                   |  - 7(H) > [COG 1 -F] > 22(W)
11:29:11  > FullPassThrough()                   |  - 22(W) > [COG 2 -F] > 17(R)
11:29:11  > FullPassThrough()                   |  - 17(R) > [UKW] > 10(K)
11:29:11  > FullPassThrough()                   |  - 10(K) > [COG 2 -R] > 4(E)
11:29:11  > FullPassThrough()                   |  - 4(E) > [COG 1 -R] > 21(V)
11:29:11  > FullPassThrough()                   |  - 21(V) > [COG 0 -R] > 11(L)
11:29:11  > FullPassThrough()                   |  - 11(L) > [Switchboard-R] > 10(K)
11:29:11  > ------------------                  | 
11:29:11  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:29:11  > FullPassThrough()                   |  - 24(Y) > [Switchboard-F] > 24(Y)
11:29:11  > FullPassThrough()                   |  - 24(Y) > [COG 0 -F] > 8(I)
11:29:11  > FullPassThrough()                   |  - 8(I) > [COG 1 -F] > 0(A)
11:29:11  > FullPassThrough()                   |  - 0(A) > [COG 2 -F] > 2(C)
11:29:11  > FullPassThrough()                   |  - 2(C) > [UKW] > 15(P)
11:29:11  > FullPassThrough()                   |  - 15(P) > [COG 2 -R] > 23(X)
11:29:11  > FullPassThrough()                   |  - 23(X) > [COG 1 -R] > 20(U)
11:29:11  > FullPassThrough()                   |  - 20(U) > [COG 0 -R] > 10(K)
11:29:11  > FullPassThrough()                   |  - 10(K) > [Switchboard-R] > 11(L)
11:29:11  > ------------------                  | 
