10:13:48  > Machine.powerOn()                   | First boot of engima machine
10:13:48  > Machine.InitialseCogs()             | Got cog settings from user
10:13:48  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
10:13:48  > Machine.InitialseUKW()              | Got reverser settings from user
10:13:48  > ------------------                  | 
10:13:48  > FullPassThrough()                   |  - Cog in position 1 Incremented
10:13:48  > FullPassThrough()                   |  - 7(H) > [Switchboard-F] > 7(H)
10:13:48  > FullPassThrough()                   |  - 7(H) > [COG 0 -F] > 5(F)
10:13:48  > FullPassThrough()                   |  - 5(F) > [COG 1 -F] > 9(J)
10:13:48  > FullPassThrough()                   |  - 9(J) > [COG 2 -F] > 14(O)
10:13:48  > FullPassThrough()                   |  - 14(O) > [UKW] > 6(G)
10:13:48  > FullPassThrough()                   |  - 6(G) > [COG 2 -R] > 3(D)
10:13:48  > FullPassThrough()                   |  - 3(D) > [COG 1 -R] > -7(:)
10:13:48  > FullPassThrough()                   |  - -7(:) > [COG 0 -R] > 18(S)
10:13:48  > FullPassThrough()                   |  - 18(S) > [Switchboard-R] > 18(S)
10:13:48  > ------------------                  | 
10:13:48  > FullPassThrough()                   |  - Cog in position 1 Incremented
10:13:48  > FullPassThrough()                   |  - 4(E) > [Switchboard-F] > 4(E)
10:13:48  > FullPassThrough()                   |  - 4(E) > [COG 0 -F] > -11(6)
10:13:48  > FullPassThrough()                   |  - -11(6) > [COG 1 -F] > 18(S)
10:13:48  > FullPassThrough()                   |  - 18(S) > [COG 2 -F] > 0(A)
10:13:48  > FullPassThrough()                   |  - 0(A) > [UKW] > 5(F)
10:13:48  > FullPassThrough()                   |  - 5(F) > [COG 2 -R] > 8(I)
10:13:48  > FullPassThrough()                   |  - 8(I) > [COG 1 -R] > 11(L)
10:13:48  > FullPassThrough()                   |  - 11(L) > [COG 0 -R] > 9(J)
10:13:48  > FullPassThrough()                   |  - 9(J) > [Switchboard-R] > 9(J)
10:13:48  > ------------------                  | 
10:13:48  > FullPassThrough()                   |  - Cog in position 1 Incremented
10:13:48  > FullPassThrough()                   |  - 11(L) > [Switchboard-F] > 11(L)
10:13:48  > FullPassThrough()                   |  - 11(L) > [COG 0 -F] > 2(C)
10:13:48  > FullPassThrough()                   |  - 2(C) > [COG 1 -F] > -4(=)
10:13:48  > FullPassThrough()                   |  - -4(=) > [COG 2 -F] > -2(?)
10:13:48  > FullPassThrough()                   |  - -2(?) > [UKW] > 7(H)
10:13:48  > FullPassThrough()                   |  - 7(H) > [COG 2 -R] > 17(R)
10:13:48  > FullPassThrough()                   |  - 17(R) > [COG 1 -R] > 7(H)
10:13:48  > FullPassThrough()                   |  - 7(H) > [COG 0 -R] > 15(P)
10:13:48  > FullPassThrough()                   |  - 15(P) > [Switchboard-R] > 15(P)
10:13:48  > ------------------                  | 
10:13:48  > FullPassThrough()                   |  - Cog in position 1 Incremented
10:13:48  > FullPassThrough()                   |  - 11(L) > [Switchboard-F] > 11(L)
10:13:48  > FullPassThrough()                   |  - 11(L) > [COG 0 -F] > 23(X)
10:13:48  > FullPassThrough()                   |  - 23(X) > [COG 1 -F] > 23(X)
10:13:48  > FullPassThrough()                   |  - 23(X) > [COG 2 -F] > 1(B)
10:13:48  > FullPassThrough()                   |  - 1(B) > [UKW] > 21(V)
10:13:48  > FullPassThrough()                   |  - 21(V) > [COG 2 -R] > 5(F)
10:13:48  > FullPassThrough()                   |  - 5(F) > [COG 1 -R] > 25(Z)
10:13:48  > FullPassThrough()                   |  - 25(Z) > [COG 0 -R] > 20(U)
10:13:48  > FullPassThrough()                   |  - 20(U) > [Switchboard-R] > 20(U)
10:13:48  > ------------------                  | 
10:13:48  > FullPassThrough()                   |  - Cog in position 1 Incremented
10:13:48  > FullPassThrough()                   |  - 14(O) > [Switchboard-F] > 14(O)
10:13:48  > FullPassThrough()                   |  - 14(O) > [COG 0 -F] > 15(P)
10:13:48  > FullPassThrough()                   |  - 15(P) > [COG 1 -F] > 18(S)
10:13:48  > FullPassThrough()                   |  - 18(S) > [COG 2 -F] > 0(A)
10:13:48  > FullPassThrough()                   |  - 0(A) > [UKW] > 5(F)
10:13:48  > FullPassThrough()                   |  - 5(F) > [COG 2 -R] > 8(I)
10:13:48  > FullPassThrough()                   |  - 8(I) > [COG 1 -R] > 11(L)
10:13:48  > FullPassThrough()                   |  - 11(L) > [COG 0 -R] > 21(V)
10:13:48  > FullPassThrough()                   |  - 21(V) > [Switchboard-R] > 21(V)
10:13:48  > ------------------                  | 
10:13:48  > FullPassThrough()                   |  - [SPACE] <Character Skipped>
10:13:48  > ------------------                  | 
10:13:48  > FullPassThrough()                   |  - Cog in position 1 Incremented
10:13:48  > FullPassThrough()                   |  - 22(W) > [Switchboard-F] > 22(W)
10:13:48  > FullPassThrough()                   |  - 22(W) > [COG 0 -F] > 15(P)
10:13:48  > FullPassThrough()                   |  - 15(P) > [COG 1 -F] > 18(S)
10:13:48  > FullPassThrough()                   |  - 18(S) > [COG 2 -F] > 0(A)
10:13:48  > FullPassThrough()                   |  - 0(A) > [UKW] > 5(F)
10:13:48  > FullPassThrough()                   |  - 5(F) > [COG 2 -R] > 8(I)
10:13:48  > FullPassThrough()                   |  - 8(I) > [COG 1 -R] > 11(L)
