19:02:02  > Machine.powerOn()                   | First boot of engima machine
19:02:02  > Machine.InitialseCogs()             | Got cog settings from user
19:02:02  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
19:02:02  > Machine.InitialseUKW()              | Got reverser settings from user
19:02:02  > ------------------                  | 
19:02:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
19:02:02  > FullPassThrough()                   |  - 11(L) > [Switchboard-F] > 11(L)
19:02:02  > FullPassThrough()                   |  - 11(L) > [COG 0 -F] > 11(L)
19:02:02  > FullPassThrough()                   |  - 11(L) > [COG 1 -F] > 21(V)
19:02:02  > FullPassThrough()                   |  - 21(V) > [COG 2 -F] > 0(A)
19:02:02  > FullPassThrough()                   |  - 0(A) > [UKW] > 24(Y)
19:02:02  > FullPassThrough()                   |  - 24(Y) > [COG 2 -R] > 8(I)
19:02:02  > FullPassThrough()                   |  - 8(I) > [COG 1 -R] > 0(A)
19:02:02  > FullPassThrough()                   |  - 0(A) > [COG 0 -R] > 4(E)
19:02:02  > FullPassThrough()                   |  - 4(E) > [Switchboard-R] > 4(E)
19:02:02  > ------------------                  | 
19:02:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
19:02:02  > FullPassThrough()                   |  - 8(I) > [Switchboard-F] > 8(I)
19:02:02  > FullPassThrough()                   |  - 8(I) > [COG 0 -F] > 18(S)
19:02:02  > FullPassThrough()                   |  - 18(S) > [COG 1 -F] > 12(M)
19:02:02  > FullPassThrough()                   |  - 12(M) > [COG 2 -F] > 21(V)
19:02:02  > FullPassThrough()                   |  - 21(V) > [UKW] > 22(W)
19:02:02  > FullPassThrough()                   |  - 22(W) > [COG 2 -R] > 15(P)
19:02:02  > FullPassThrough()                   |  - 15(P) > [COG 1 -R] > 15(P)
19:02:02  > FullPassThrough()                   |  - 15(P) > [COG 0 -R] > 20(U)
19:02:02  > FullPassThrough()                   |  - 20(U) > [Switchboard-R] > 20(U)
19:02:02  > ------------------                  | 
19:02:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
19:02:02  > FullPassThrough()                   |  - 18(S) > [Switchboard-F] > 18(S)
19:02:02  > FullPassThrough()                   |  - 18(S) > [COG 0 -F] > 16(Q)
19:02:02  > FullPassThrough()                   |  - 16(Q) > [COG 1 -F] > 5(F)
19:02:02  > FullPassThrough()                   |  - 5(F) > [COG 2 -F] > 2(C)
19:02:02  > FullPassThrough()                   |  - 2(C) > [UKW] > 20(U)
19:02:02  > FullPassThrough()                   |  - 20(U) > [COG 2 -R] > 7(H)
19:02:02  > FullPassThrough()                   |  - 7(H) > [COG 1 -R] > 4(E)
19:02:02  > FullPassThrough()                   |  - 4(E) > [COG 0 -R] > 12(M)
19:02:02  > FullPassThrough()                   |  - 12(M) > [Switchboard-R] > 12(M)
19:02:02  > ------------------                  | 
19:02:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
19:02:02  > FullPassThrough()                   |  - 18(S) > [Switchboard-F] > 18(S)
19:02:02  > FullPassThrough()                   |  - 18(S) > [COG 0 -F] > 13(N)
19:02:02  > FullPassThrough()                   |  - 13(N) > [COG 1 -F] > 11(L)
19:02:02  > FullPassThrough()                   |  - 11(L) > [COG 2 -F] > 13(N)
19:02:02  > FullPassThrough()                   |  - 13(N) > [UKW] > 10(K)
19:02:02  > FullPassThrough()                   |  - 10(K) > [COG 2 -R] > 3(D)
19:02:02  > FullPassThrough()                   |  - 3(D) > [COG 1 -R] > 24(Y)
19:02:02  > FullPassThrough()                   |  - 24(Y) > [COG 0 -R] > 22(W)
19:02:02  > FullPassThrough()                   |  - 22(W) > [Switchboard-R] > 22(W)
19:02:02  > ------------------                  | 
19:02:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
19:02:02  > FullPassThrough()                   |  - 0(A) > [Switchboard-F] > 0(A)
19:02:02  > FullPassThrough()                   |  - 0(A) > [COG 0 -F] > -4(=)
19:02:02  > FullPassThrough()                   |  - -4(=) > [COG 1 -F] > 20(U)
19:02:02  > FullPassThrough()                   |  - 20(U) > [COG 2 -F] > 7(H)
19:02:02  > FullPassThrough()                   |  - 7(H) > [UKW] > 3(D)
19:02:02  > FullPassThrough()                   |  - 3(D) > [COG 2 -R] > -1(@)
19:02:02  > FullPassThrough()                   |  - -1(@) > [COG 1 -R] > 25(Z)
19:02:02  > FullPassThrough()                   |  - 25(Z) > [COG 0 -R] > 22(W)
19:02:02  > FullPassThrough()                   |  - 22(W) > [Switchboard-R] > 22(W)
19:02:02  >                                     | 
19:02:02  > -- --                               | 
19:02:02  > --                                  | COG SETTINGS --
19:02:02  >                                     | |Position: 0 |     |Cog: cog3.txt |     |Intital Char: A |     |Initial RingPos: 0|  
19:02:02  >                                     | |Position: 1 |     |Cog: cog2.txt |     |Intital Char: A |     |Initial RingPos: 0|  
19:02:02  >                                     | |Position: 2 |     |Cog: cog1.txt |     |Intital Char: A |     |Initial RingPos: 0|  
19:02:02  > --                                  | SWITCHBOARD SETTINGS --
19:02:02  >                                     | >A|A<    >B|A<    >C|A<    >D|A<    >E|A<    >F|A<    >G|A<    >H|A<    >I|A<    >J|A<    >K|A<    >L|A<    >M|A<    >N|A<    
19:02:02  >                                     | >O|A<    >P|A<    >Q|A<    >R|A<    >S|A<    >T|A<    >U|A<    >V|A<    >W|A<    >X|A<    >Y|A<    >Z|A<    
19:02:02  > logFile.Close()                     | Logging terminated.
