16:36:02  > Machine.powerOn()                   | First boot of engima machine
16:36:02  > Machine.InitialseCogs()             | Got cog settings from user
16:36:02  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
16:36:02  > Machine.InitialseUKW()              | Got reverser settings from user
16:36:02  > ------------------                  | 
16:36:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
16:36:02  > FullPassThrough()                   |  - 19(T) > [Switchboard-F] > 0(A)
16:36:02  > FullPassThrough()                   |  - 0(A) > [COG 0 -F] > -19(.)
16:36:02  > FullPassThrough()                   |  - -19(.) > [COG 1 -F] > 8(I)
16:36:02  > FullPassThrough()                   |  - 8(I) > [COG 2 -F] > 5(F)
16:36:02  > FullPassThrough()                   |  - 5(F) > [UKW] > 18(S)
16:36:02  > FullPassThrough()                   |  - 18(S) > [COG 2 -R] > 9(J)
16:36:02  > FullPassThrough()                   |  - 9(J) > [COG 1 -R] > 4(E)
16:36:02  > FullPassThrough()                   |  - 4(E) > [COG 0 -R] > 5(F)
16:36:02  > FullPassThrough()                   |  - 5(F) > [Switchboard-R] > 5(F)
16:36:02  > ------------------                  | 
16:36:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
16:36:02  > FullPassThrough()                   |  - 7(H) > [Switchboard-F] > 7(H)
16:36:02  > FullPassThrough()                   |  - 7(H) > [COG 0 -F] > 10(K)
16:36:02  > FullPassThrough()                   |  - 10(K) > [COG 1 -F] > 13(N)
16:36:02  > FullPassThrough()                   |  - 13(N) > [COG 2 -F] > 21(V)
16:36:02  > FullPassThrough()                   |  - 21(V) > [UKW] > 22(W)
16:36:02  > FullPassThrough()                   |  - 22(W) > [COG 2 -R] > 19(T)
16:36:02  > FullPassThrough()                   |  - 19(T) > [COG 1 -R] > 3(D)
16:36:02  > FullPassThrough()                   |  - 3(D) > [COG 0 -R] > 4(E)
16:36:02  > FullPassThrough()                   |  - 4(E) > [Switchboard-R] > 24(Y)
16:36:02  > ------------------                  | 
16:36:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
16:36:02  > FullPassThrough()                   |  - 8(I) > [Switchboard-F] > 8(I)
16:36:02  > FullPassThrough()                   |  - 8(I) > [COG 0 -F] > 25(Z)
16:36:02  > FullPassThrough()                   |  - 25(Z) > [COG 1 -F] > 20(U)
16:36:02  > FullPassThrough()                   |  - 20(U) > [COG 2 -F] > 20(U)
16:36:02  > FullPassThrough()                   |  - 20(U) > [UKW] > 2(C)
16:36:02  > FullPassThrough()                   |  - 2(C) > [COG 2 -R] > 22(W)
16:36:02  > FullPassThrough()                   |  - 22(W) > [COG 1 -R] > 11(L)
16:36:02  > FullPassThrough()                   |  - 11(L) > [COG 0 -R] > 0(A)
16:36:02  > FullPassThrough()                   |  - 0(A) > [Switchboard-R] > 19(T)
16:36:02  > ------------------                  | 
16:36:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
16:36:02  > FullPassThrough()                   |  - Cog in position 1 reached turnover, Cog in position 2 Incremented
16:36:02  > FullPassThrough()                   |  - 18(S) > [Switchboard-F] > 15(P)
16:36:02  > FullPassThrough()                   |  - 15(P) > [COG 0 -F] > 23(X)
16:36:02  > FullPassThrough()                   |  - 23(X) > [COG 1 -F] > 17(R)
16:36:02  > FullPassThrough()                   |  - 17(R) > [COG 2 -F] > 9(J)
16:36:02  > FullPassThrough()                   |  - 9(J) > [UKW] > 23(X)
16:36:02  > FullPassThrough()                   |  - 23(X) > [COG 2 -R] > 10(K)
16:36:02  > FullPassThrough()                   |  - 10(K) > [COG 1 -R] > 21(V)
16:36:02  > FullPassThrough()                   |  - 21(V) > [COG 0 -R] > 0(A)
16:36:02  > FullPassThrough()                   |  - 0(A) > [Switchboard-R] > 19(T)
16:36:02  > ------------------                  | 
16:36:02  > FullPassThrough()                   |  - [SPACE] <Character Skipped>
16:36:02  > ------------------                  | 
16:36:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
16:36:02  > FullPassThrough()                   |  - 8(I) > [Switchboard-F] > 8(I)
16:36:02  > FullPassThrough()                   |  - 8(I) > [COG 0 -F] > 14(O)
16:36:02  > FullPassThrough()                   |  - 14(O) > [COG 1 -F] > 15(P)
16:36:02  > FullPassThrough()                   |  - 15(P) > [COG 2 -F] > 24(Y)
16:36:02  > FullPassThrough()                   |  - 24(Y) > [UKW] > 0(A)
16:36:02  > FullPassThrough()                   |  - 0(A) > [COG 2 -R] > -10(7)
16:36:02  > FullPassThrough()                   |  - -10(7) > [COG 1 -R] > 18(S)
16:36:02  > FullPassThrough()                   |  - 18(S) > [COG 0 -R] > 5(F)
16:36:02  > FullPassThrough()                   |  - 5(F) > [Switchboard-R] > 5(F)
16:36:02  > ------------------                  | 
16:36:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
16:36:02  > FullPassThrough()                   |  - 18(S) > [Switchboard-F] > 15(P)
16:36:02  > FullPassThrough()                   |  - 15(P) > [COG 0 -F] > 20(U)
16:36:02  > FullPassThrough()                   |  - 20(U) > [COG 1 -F] > 20(U)
16:36:02  > FullPassThrough()                   |  - 20(U) > [COG 2 -F] > 20(U)
16:36:02  > FullPassThrough()                   |  - 20(U) > [UKW] > 2(C)
16:36:02  > FullPassThrough()                   |  - 2(C) > [COG 2 -R] > 22(W)
16:36:02  > FullPassThrough()                   |  - 22(W) > [COG 1 -R] > 8(I)
16:36:02  > FullPassThrough()                   |  - 8(I) > [COG 0 -R] > 23(X)
16:36:02  > FullPassThrough()                   |  - 23(X) > [Switchboard-R] > 23(X)
16:36:02  > ------------------                  | 
16:36:02  > FullPassThrough()                   |  - [SPACE] <Character Skipped>
16:36:02  > ------------------                  | 
16:36:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
16:36:02  > FullPassThrough()                   |  - 0(A) > [Switchboard-F] > 19(T)
16:36:02  > FullPassThrough()                   |  - 19(T) > [COG 0 -F] > 2(C)
16:36:02  > FullPassThrough()                   |  - 2(C) > [COG 1 -F] > -8(9)
16:36:02  > FullPassThrough()                   |  - -8(9) > [COG 2 -F] > 25(Z)
16:36:02  > FullPassThrough()                   |  - 25(Z) > [UKW] > 19(T)
16:36:02  > FullPassThrough()                   |  - 19(T) > [COG 2 -R] > 25(Z)
16:36:02  > FullPassThrough()                   |  - 25(Z) > [COG 1 -R] > 1(B)
16:36:02  > FullPassThrough()                   |  - 1(B) > [COG 0 -R] > 20(U)
16:36:02  > FullPassThrough()                   |  - 20(U) > [Switchboard-R] > 1(B)
16:36:02  > ------------------                  | 
16:36:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
16:36:02  > FullPassThrough()                   |  - 13(N) > [Switchboard-F] > 13(N)
16:36:02  > FullPassThrough()                   |  - 13(N) > [COG 0 -F] > 18(S)
16:36:02  > FullPassThrough()                   |  - 18(S) > [COG 1 -F] > 16(Q)
16:36:02  > FullPassThrough()                   |  - 16(Q) > [COG 2 -F] > 0(A)
16:36:02  > FullPassThrough()                   |  - 0(A) > [UKW] > 24(Y)
16:36:02  > FullPassThrough()                   |  - 24(Y) > [COG 2 -R] > 15(P)
16:36:02  > FullPassThrough()                   |  - 15(P) > [COG 1 -R] > 14(O)
16:36:02  > FullPassThrough()                   |  - 14(O) > [COG 0 -R] > 6(G)
16:36:02  > FullPassThrough()                   |  - 6(G) > [Switchboard-R] > 21(V)
16:36:02  > ------------------                  | 
16:36:02  > FullPassThrough()                   |  - Cog in position 1 Incremented
16:36:02  > FullPassThrough()                   |  - 14(O) > [Switchboard-F] > 14(O)
16:36:02  > FullPassThrough()                   |  - 14(O) > [COG 0 -F] > 4(E)
16:36:02  > FullPassThrough()                   |  - 4(E) > [COG 1 -F] > 4(E)
16:36:02  > FullPassThrough()                   |  - 4(E) > [COG 2 -F] > 14(O)
