11:55:31  > Machine.powerOn()                   | First boot of engima machine
11:55:31  > Machine.InitialseCogs()             | Got cog settings from user
11:55:31  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
11:55:31  > Machine.InitialseUKW()              | Got reverser settings from user
11:55:31  > ------------------                  | 
11:55:31  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:55:31  > FullPassThrough()                   |  - 19(T) > [Switchboard-F] > 19(T)
11:55:31  > FullPassThrough()                   |  - 19(T) > [COG 0 -F] > 9(J)
11:55:31  > FullPassThrough()                   |  - 9(J) > [COG 1 -F] > 25(Z)
11:55:31  > FullPassThrough()                   |  - 25(Z) > [COG 2 -F] > 10(K)
11:55:31  > FullPassThrough()                   |  - 10(K) > [UKW] > 13(N)
11:55:31  > FullPassThrough()                   |  - 13(N) > [COG 2 -R] > 12(M)
11:55:31  > FullPassThrough()                   |  - 12(M) > [COG 1 -R] > 2(C)
11:55:31  > FullPassThrough()                   |  - 2(C) > [COG 0 -R] > 0(A)
11:55:31  > FullPassThrough()                   |  - 0(A) > [Switchboard-R] > 0(A)
11:55:31  > ------------------                  | 
11:55:31  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:55:31  > FullPassThrough()                   |  - 7(H) > [Switchboard-F] > 7(H)
11:55:31  > FullPassThrough()                   |  - 7(H) > [COG 0 -F] > 17(R)
11:55:31  > FullPassThrough()                   |  - 17(R) > [COG 1 -F] > 20(U)
11:55:31  > FullPassThrough()                   |  - 20(U) > [COG 2 -F] > 16(Q)
11:55:31  > FullPassThrough()                   |  - 16(Q) > [UKW] > 4(E)
11:55:31  > FullPassThrough()                   |  - 4(E) > [COG 2 -R] > 23(X)
11:55:31  > FullPassThrough()                   |  - 23(X) > [COG 1 -R] > 16(Q)
11:55:31  > FullPassThrough()                   |  - 16(Q) > [COG 0 -R] > 21(V)
11:55:31  > FullPassThrough()                   |  - 21(V) > [Switchboard-R] > 21(V)
11:55:31  > ------------------                  | 
11:55:31  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:55:31  > FullPassThrough()                   |  - 8(I) > [Switchboard-F] > 8(I)
11:55:31  > FullPassThrough()                   |  - 8(I) > [COG 0 -F] > 18(S)
11:55:31  > FullPassThrough()                   |  - 18(S) > [COG 1 -F] > 18(S)
11:55:31  > FullPassThrough()                   |  - 18(S) > [COG 2 -F] > 12(M)
11:55:31  > FullPassThrough()                   |  - 12(M) > [UKW] > 14(O)
11:55:31  > FullPassThrough()                   |  - 14(O) > [COG 2 -R] > 21(V)
11:55:31  > FullPassThrough()                   |  - 21(V) > [COG 1 -R] > 8(I)
11:55:31  > FullPassThrough()                   |  - 8(I) > [COG 0 -R] > 2(C)
11:55:31  > FullPassThrough()                   |  - 2(C) > [Switchboard-R] > 2(C)
11:55:31  > ------------------                  | 
11:55:31  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:55:31  > FullPassThrough()                   |  - 18(S) > [Switchboard-F] > 18(S)
11:55:31  > FullPassThrough()                   |  - 18(S) > [COG 0 -F] > 16(Q)
11:55:31  > FullPassThrough()                   |  - 16(Q) > [COG 1 -F] > 23(X)
11:55:31  > FullPassThrough()                   |  - 23(X) > [COG 2 -F] > 4(E)
11:55:31  > FullPassThrough()                   |  - 4(E) > [UKW] > 16(Q)
11:55:31  > FullPassThrough()                   |  - 16(Q) > [COG 2 -R] > 20(U)
11:55:31  > FullPassThrough()                   |  - 20(U) > [COG 1 -R] > 17(R)
11:55:31  > FullPassThrough()                   |  - 17(R) > [COG 0 -R] > 7(H)
11:55:31  > FullPassThrough()                   |  - 7(H) > [Switchboard-R] > 7(H)
11:55:31  > ------------------                  | 
11:55:31  > FullPassThrough()                   |  - [SPACE] <Character Skipped>
11:55:31  > ------------------                  | 
11:55:31  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:55:31  > FullPassThrough()                   |  - 8(I) > [Switchboard-F] > 8(I)
11:55:31  > FullPassThrough()                   |  - 8(I) > [COG 0 -F] > 8(I)
11:55:31  > FullPassThrough()                   |  - 8(I) > [COG 1 -F] > 21(V)
11:55:31  > FullPassThrough()                   |  - 21(V) > [COG 2 -F] > 14(O)
11:55:31  > FullPassThrough()                   |  - 14(O) > [UKW] > 12(M)
11:55:31  > FullPassThrough()                   |  - 12(M) > [COG 2 -R] > 18(S)
11:55:31  > FullPassThrough()                   |  - 18(S) > [COG 1 -R] > 18(S)
11:55:31  > FullPassThrough()                   |  - 18(S) > [COG 0 -R] > 5(F)
11:55:31  > FullPassThrough()                   |  - 5(F) > [Switchboard-R] > 5(F)
11:55:31  > ------------------                  | 
11:55:31  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:55:31  > FullPassThrough()                   |  - 18(S) > [Switchboard-F] > 18(S)
11:55:31  > FullPassThrough()                   |  - 18(S) > [COG 0 -F] > 10(K)
11:55:31  > FullPassThrough()                   |  - 10(K) > [COG 1 -F] > 13(N)
11:55:31  > FullPassThrough()                   |  - 13(N) > [COG 2 -F] > 7(H)
11:55:31  > FullPassThrough()                   |  - 7(H) > [UKW] > 3(D)
11:55:31  > FullPassThrough()                   |  - 3(D) > [COG 2 -R] > 11(L)
