11:50:12  > Machine.powerOn()                   | First boot of engima machine
11:50:12  > Machine.InitialseCogs()             | Got cog settings from user
11:50:12  > Machine.InitialseSwitchboard()      | Got switchboard settings from user
11:50:12  > Machine.InitialseUKW()              | Got reverser settings from user
11:50:12  > ------------------                  | 
11:50:12  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:50:12  > FullPassThrough()                   |  - 19(T) > [Switchboard-F] > 19(T)
11:50:12  > FullPassThrough()                   |  - 19(T) > [COG 0 -F] > 24(Y)
11:50:12  > FullPassThrough()                   |  - 24(Y) > [COG 1 -F] > 7(H)
11:50:12  > FullPassThrough()                   |  - 7(H) > [COG 2 -F] > 20(U)
11:50:12  > FullPassThrough()                   |  - 20(U) > [UKW] > 2(C)
11:50:12  > FullPassThrough()                   |  - 2(C) > [COG 2 -R] > 3(D)
11:50:12  > FullPassThrough()                   |  - 3(D) > [COG 1 -R] > 3(D)
11:50:12  > FullPassThrough()                   |  - 3(D) > [COG 0 -R] > 14(O)
11:50:12  > FullPassThrough()                   |  - 14(O) > [Switchboard-R] > 14(O)
11:50:12  > ------------------                  | 
11:50:12  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:50:12  > FullPassThrough()                   |  - 7(H) > [Switchboard-F] > 7(H)
11:50:12  > FullPassThrough()                   |  - 7(H) > [COG 0 -F] > -12(5)
11:50:12  > FullPassThrough()                   |  - -12(5) > [COG 1 -F] > 16(Q)
11:50:12  > FullPassThrough()                   |  - 16(Q) > [COG 2 -F] > 24(Y)
11:50:12  > FullPassThrough()                   |  - 24(Y) > [UKW] > 0(A)
11:50:12  > FullPassThrough()                   |  - 0(A) > [COG 2 -R] > -24())
11:50:12  > FullPassThrough()                   |  - -24()) > [COG 1 -R] > 8(I)
11:50:12  > FullPassThrough()                   |  - 8(I) > [COG 0 -R] > 10(K)
11:50:12  > FullPassThrough()                   |  - 10(K) > [Switchboard-R] > 10(K)
11:50:12  > ------------------                  | 
11:50:12  > FullPassThrough()                   |  - Cog in position 1 Incremented
11:50:12  > FullPassThrough()                   |  - 8(I) > [Switchboard-F] > 8(I)
11:50:12  > FullPassThrough()                   |  - 8(I) > [COG 0 -F] > -1(@)
11:50:12  > FullPassThrough()                   |  - -1(@) > [COG 1 -F] > 9(J)
11:50:12  > FullPassThrough()                   |  - 9(J) > [COG 2 -F] > 21(V)
11:50:12  > FullPassThrough()                   |  - 21(V) > [UKW] > 22(W)
11:50:12  > FullPassThrough()                   |  - 22(W) > [COG 2 -R] > 1(B)
11:50:12  > FullPassThrough()                   |  - 1(B) > [COG 1 -R] > -8(9)
11:50:12  > FullPassThrough()                   |  - -8(9) > [COG 0 -R] > 15(P)
